Order ID,Item Name,Category,Quantity,Selling Price (EGP),Total Price (EGP)
59955,Pasta 139,Breakfast,4,95,380
14998,Pancake 516,Appetizer,1,86,86
98112,Hamburger 113,Dessert,3,50,150
81202,Pancake 670,Snack,4,80,320
55744,Pancake 913,Soup,2,72,144
16158,Hamburger 286,Dessert,3,50,150
66978,Hamburger 676,Breakfast,1,50,50
25874,Pasta 142,Main Course,1,47,47
22114,Tabbouleh 475,Salad,4,87,348
53994,Tabbouleh 356,Salad,4,134,536
48514,Hamburger 531,Appetizer,2,50,100
47037,Taco 258,Snack,5,93,465
33752,Paella 639,Main Course,5,84,420
42246,Taco 996,Snack,4,85,340
59039,Tabbouleh 595,Salad,2,46,92
53071,Croissant 581,Breakfast,3,65,195
35447,Paella 3,Main Course,1,145,145
72371,Mansaf 405,Main Course,4,60,240
18235,Baklava 569,Main Course,4,125,500
30946,Baklava 890,Dessert,3,171,513
82639,Falafel 254,Dessert,5,121,605
89697,Falafel 421,Breakfast,5,63,315
19346,Croissant 238,Appetizer,4,102,408
60326,Harira 248,Soup,2,48,96
32425,Biryani 524,Main Course,3,124,372
84416,Hummus,Snack,3,79,237
26735,Hummus 923,Appetizer,1,144,144
17810,Baklava 543,Main Course,1,79,79
15268,Croissant 893,Main Course,1,85,85
75447,Hummus 705,Appetizer,4,148,592
16462,Paella 205,Snack,1,73,73
23332,Tabbouleh 111,Salad,1,53,53
58504,Croissant 390,Soup,3,40,120
35531,Falafel 701,Snack,2,100,200
22812,Hamburger 873,Snack,4,50,200
18950,Taco 722,Appetizer,1,42,42
97157,Croissant 406,Soup,4,68,272
82975,Paella 401,Soup,4,45,180
78477,Pancake 931,Dessert,5,197,985
70901,Paella 549,Dessert,1,124,124
41881,Curry 356,Soup,1,44,44
96960,Taco 985,Soup,3,55,165
79710,Hamburger 796,Appetizer,4,50,200
25572,Pasta 157,Snack,3,56,168
41901,Paella 536,Dessert,5,156,780
25965,Hamburger 564,Main Course,3,50,150
75069,Paella 892,Snack,4,96,384
53330,Kunafa 409,Dessert,5,146,730
57047,Mansaf 263,Main Course,3,72,216
32389,Falafel 830,Appetizer,1,78,78
81391,Curry 42,Snack,1,96,96
86467,Taco 338,Breakfast,3,50,150
82969,Paella 11,Breakfast,5,52,260
92657,Croissant 737,Soup,4,79,316
48113,Taco 323,Appetizer,5,127,635
12319,Pasta 921,Dessert,4,101,404
70343,Paella 943,Main Course,1,60,60
36429,Baklava 231,Dessert,5,199,995
72270,Hamburger 742,Snack,4,50,200
47451,Kunafa 425,Dessert,1,106,106
18546,Baklava 404,Dessert,1,171,171
57266,Pancake 149,Soup,2,64,128
84153,Paella 860,Snack,5,74,370
63624,Hamburger 951,Breakfast,3,50,150
64514,Taco 996,Snack,1,85,85
33445,Pancake 264,Dessert,5,112,560
23550,Biryani 739,Main Course,2,124,248
94650,Pasta 324,Snack,3,100,300
42166,Pancake 455,Appetizer,5,83,415
27633,Falafel 177,Soup,1,79,79
19465,Fattoush 496,Salad,1,103,103
75873,Pancake 800,Dessert,1,193,193
23843,Pancake 610,Soup,2,54,108
28793,Paella 3,Main Course,4,145,580
54891,Croissant 813,Breakfast,5,50,250
21462,Hamburger 54,Breakfast,4,50,200
57158,Kunafa 851,Dessert,1,147,147
14395,Taco 996,Snack,4,85,340
19630,Hamburger 54,Breakfast,4,50,200
23130,Hamburger 284,Breakfast,4,50,200
70062,Tabbouleh 602,Salad,4,50,200
23961,Croissant 811,Appetizer,3,114,342
74805,Pasta 782,Dessert,4,192,768
99041,Curry 82,Breakfast,3,65,195
90914,Harira 188,Soup,4,51,204
43316,Baklava 543,Main Course,5,79,395
46149,Croissant 886,Soup,4,66,264
49371,Falafel 267,Dessert,4,186,744
87925,Baklava 96,Snack,3,87,261
93763,Taco 580,Soup,5,58,290
56702,Pancake 313,Appetizer,2,46,92
66757,Baklava 618,Dessert,1,144,144
90753,Hummus 972,Appetizer,3,115,345
46473,Baklava 424,Appetizer,5,115,575
84923,Curry 880,Main Course,3,120,360
48303,Croissant 813,Breakfast,2,50,100
17219,Hamburger 451,Soup,3,50,150
67116,Baklava 812,Dessert,5,80,400
65336,Baklava 891,Dessert,1,84,84
35919,Shakshuka 261,Breakfast,4,92,368
68731,Hamburger 125,Main Course,1,50,50
95304,Curry 731,Dessert,1,157,157
93077,Mansaf 466,Main Course,3,85,255
54410,Pasta 314,Main Course,2,67,134
25671,Paella 896,Breakfast,3,52,156
99768,Taco 592,Main Course,2,95,190
49840,Hummus 278,Appetizer,2,92,184
86479,Paella 954,Soup,4,68,272
44454,Pancake 574,Dessert,3,130,390
14364,Falafel 303,Main Course,5,127,635
36454,Curry 741,Dessert,2,163,326
99329,Fattoush 851,Salad,2,102,204
89644,Paella 11,Breakfast,1,52,52
64032,Mansaf 404,Main Course,1,125,125
66320,Paella 32,Snack,5,53,265
17615,Fattoush 851,Salad,3,102,306
98229,Paella 890,Dessert,5,163,815
16333,Falafel 931,Breakfast,4,91,364
99998,Curry 609,Snack,1,57,57
11920,Hamburger 576,Breakfast,1,50,50
51162,Falafel 451,Appetizer,4,66,264
36882,Hamburger 564,Main Course,2,50,100
42848,Baklava 43,Dessert,4,150,600
81085,Pancake 506,Snack,5,67,335
66528,Pancake 635,Appetizer,1,66,66
38882,Tabbouleh 838,Salad,5,43,215
53090,Hamburger 457,Breakfast,3,50,150
41348,Paella 650,Soup,2,78,156
46905,Paella 984,Appetizer,1,130,130
56767,Croissant 472,Main Course,3,121,363
32949,Molokhia 546,Main Course,3,74,222
70725,Tabbouleh 745,Salad,1,82,82
58750,Shakshuka 663,Breakfast,3,66,198
10487,Pasta 348,Breakfast,4,80,320
91755,Tabbouleh 794,Salad,3,95,285
28825,Curry 780,Soup,4,58,232
79873,Baklava 632,Dessert,1,94,94
85423,Taco 797,Snack,3,53,159
91487,Pancake 294,Dessert,1,171,171
16648,Curry 427,Dessert,1,198,198
58522,Taco 330,Dessert,2,96,192
56326,Pancake 520,Main Course,5,59,295
12410,Kunafa 578,Dessert,3,98,294
37512,Baklava 887,Soup,1,51,51
62992,Pancake 520,Main Course,4,59,236
47507,Taco 313,Snack,5,57,285
43576,Biryani 955,Main Course,1,98,98
24860,Hamburger 552,Dessert,5,50,250
81477,Pancake 388,Dessert,5,123,615
26287,Paella 434,Main Course,5,111,555
27698,Sambusa,Appetizer,1,63,63
15946,Curry 943,Breakfast,5,67,335
96473,Pasta 545,Snack,3,84,252
37624,Hummus 972,Appetizer,2,115,230
38257,Hamburger 20,Snack,2,50,100
53375,Pancake 475,Main Course,4,41,164
28088,Baklava 753,Appetizer,1,40,40
30290,Pasta 553,Appetizer,2,118,236
27007,Falafel 805,Snack,3,87,261
47412,Baklava 803,Appetizer,4,134,536
64404,Pasta 341,Breakfast,5,84,420
92704,Baklava 427,Appetizer,5,147,735
66770,Molokhia 542,Main Course,5,106,530
83642,Pasta 383,Snack,3,100,300
57873,Pasta 553,Appetizer,2,118,236
86810,Falafel 701,Snack,3,100,300
72185,Harira 928,Soup,1,76,76
18329,Pancake 251,Soup,2,44,88
66016,Molokhia 144,Main Course,1,83,83
70526,Baklava 108,Dessert,5,199,995
43109,Taco 301,Appetizer,2,40,80
77428,Hamburger 286,Dessert,1,50,50
98871,Croissant 596,Appetizer,4,87,348
21170,Kunafa 967,Dessert,2,141,282
62964,Pancake 378,Soup,1,72,72
48525,Hamburger 126,Main Course,5,50,250
61606,Hamburger 712,Snack,3,50,150
50406,Tabbouleh 475,Salad,2,87,174
44265,Curry 648,Snack,5,68,340
64483,Hamburger 152,Breakfast,4,50,200
53892,Molokhia 197,Main Course,2,51,102
56122,Pancake 493,Soup,2,51,102
86032,Fattoush 923,Salad,4,144,576
60814,Kunafa 556,Dessert,5,195,975
92142,Curry 783,Soup,5,50,250
56340,Baklava 630,Snack,1,69,69
67062,Taco 875,Soup,4,47,188
75482,Tabbouleh 111,Salad,3,53,159
69760,Pancake 709,Soup,2,46,92
15833,Falafel 993,Main Course,1,127,127
52795,Baklava 569,Appetizer,1,81,81
32697,Croissant 925,Snack,2,52,104
80915,Taco 164,Breakfast,5,72,360
69736,Mansaf 892,Main Course,5,63,315
52949,Paella 27,Snack,2,86,172
82724,Curry 841,Appetizer,2,140,280
70060,Hummus 878,Appetizer,3,134,402
55337,Hamburger 742,Snack,3,50,150
64929,Baklava 762,Appetizer,2,109,218
37474,Paella 291,Main Course,2,82,164
89867,Curry 907,Soup,4,66,264
44539,Curry 394,Snack,4,93,372
22512,Shakshuka 689,Breakfast,5,88,440
37601,Fattoush 342,Salad,5,135,675
96939,Croissant 856,Breakfast,2,82,164
52100,Falafel 717,Breakfast,2,97,194
52648,Pancake 369,Dessert,2,192,384
26253,Taco 313,Snack,5,57,285
87183,Falafel 794,Main Course,2,141,282
79920,Fattoush 996,Salad,1,124,124
75872,Paella 54,Snack,4,50,200
32870,Croissant 384,Main Course,4,150,600
99400,Taco 824,Appetizer,4,120,480
92080,Pancake 643,Breakfast,4,86,344
81408,Falafel 146,Snack,3,56,168
16132,Shakshuka 846,Breakfast,4,64,256
95891,Taco 948,Appetizer,4,137,548
17707,Kunafa 409,Dessert,2,146,292
59556,Pancake 773,Appetizer,3,147,441
16174,Hummus 197,Appetizer,1,99,99
12997,Croissant 604,Soup,5,50,250
82930,Harira 728,Soup,2,76,152
51253,Hamburger 687,Appetizer,1,50,50
81903,Curry 834,Main Course,2,128,256
69732,Falafel 217,Breakfast,5,84,420
36404,Tabbouleh 961,Salad,3,62,186
39331,Hamburger 375,Soup,3,50,150
51740,Hummus 839,Appetizer,5,116,580
85855,Fattoush 536,Salad,1,52,52
87553,Biryani 244,Main Course,3,80,240
64972,Croissant 19,Dessert,2,176,352
90268,Falafel 138,Dessert,3,155,465
17996,Harira 542,Soup,1,58,58
81707,Pasta 382,Snack,4,50,200
97063,Hamburger 873,Snack,5,50,250
13565,Croissant 304,Snack,3,80,240
50685,Harira 600,Soup,1,57,57
97478,Taco 260,Main Course,1,138,138
95528,Baklava 140,Dessert,3,92,276
27449,Taco 56,Dessert,3,150,450
98684,Hamburger 284,Breakfast,1,50,50
42990,Falafel 829,Appetizer,5,133,665
73123,Biryani 157,Main Course,5,110,550
18991,Pasta 658,Soup,1,51,51
96449,Biryani 365,Main Course,3,96,288
38715,Kunafa 409,Dessert,1,146,146
32576,Croissant 482,Breakfast,5,73,365
60599,Paella 908,Snack,1,93,93
28301,Curry 616,Appetizer,1,135,135
10440,Falafel 169,Appetizer,5,76,380
53323,Baklava 130,Breakfast,2,85,170
94917,Croissant 482,Breakfast,5,73,365
35357,Baklava 850,Soup,4,74,296
43363,Shakshuka 183,Breakfast,2,95,190
13400,Pancake 493,Soup,5,51,255
90275,Shakshuka 315,Breakfast,2,52,104
48972,Falafel 187,Appetizer,3,120,360
62309,Shakshuka 363,Breakfast,2,90,180
16779,Taco 808,Snack,3,52,156
17960,Pasta 486,Main Course,5,103,515
81687,Curry 417,Snack,4,89,356
96500,Taco 437,Breakfast,2,87,174
40377,Kunafa 252,Dessert,3,138,414
54485,Taco 641,Dessert,5,158,790
82680,Pancake 270,Soup,1,61,61
89814,Paella 291,Main Course,2,82,164
29919,Hamburger 85,Dessert,1,50,50
52123,Baklava 591,Dessert,1,163,163
43800,Tabbouleh 505,Salad,1,145,145
75462,Paella 499,Snack,2,65,130
32530,Hummus 197,Appetizer,2,99,198
21322,Paella 453,Snack,4,87,348
36941,Hummus 696,Appetizer,2,143,286
26905,Pasta 486,Main Course,2,103,206
60766,Hummus 705,Appetizer,1,148,148
11966,Croissant 854,Appetizer,2,62,124
20494,Kunafa 736,Dessert,1,174,174
52379,Baklava 841,Appetizer,4,144,576
62177,Curry 986,Dessert,1,126,126
90080,Hamburger 411,Appetizer,5,50,250
11458,Pasta 407,Main Course,3,59,177
51688,Pancake 506,Snack,5,67,335
93836,Shakshuka 671,Breakfast,3,78,234
94844,Taco 187,Snack,2,97,194
38904,Croissant 230,Main Course,1,76,76
79977,Paella 933,Breakfast,3,59,177
37829,Hamburger 873,Snack,4,50,200
38429,Baklava 935,Breakfast,4,79,316
22376,Croissant 535,Dessert,5,83,415
48193,Falafel 216,Dessert,1,186,186
55619,Taco 56,Dessert,2,150,300
16939,Paella 232,Snack,3,60,180
15411,Croissant 856,Breakfast,1,82,82
10304,Shakshuka 556,Breakfast,4,98,392
26751,Koshari,Main Course,5,67,335
93287,Croissant 359,Soup,3,58,174
21890,Croissant 85,Dessert,4,80,320
19218,Molokhia 197,Main Course,2,51,102
63256,Paella 394,Soup,2,54,108
59668,Falafel 216,Dessert,2,186,372
80297,Croissant 107,Dessert,3,122,366
65102,Falafel 288,Soup,1,73,73
11916,Tabbouleh 189,Salad,4,48,192
53289,Hamburger 196,Main Course,1,50,50
70993,Paella 650,Soup,5,78,390
32149,Biryani 573,Main Course,5,141,705
66539,Falafel 931,Breakfast,4,91,364
60060,Mansaf 405,Main Course,5,60,300
51377,Hamburger 129,Dessert,4,50,200
40245,Taco 948,Appetizer,3,137,411
36215,Shawarma,Snack,5,92,460
74990,Baklava 518,Snack,4,68,272
24628,Pasta 833,Appetizer,5,118,590
18411,Taco 824,Appetizer,1,120,120
33042,Shakshuka 384,Breakfast,2,67,134
76397,Croissant 467,Breakfast,1,86,86
61630,Kunafa 252,Dessert,5,138,690
86544,Baklava 28,Soup,4,40,160
69553,Taco 767,Appetizer,5,149,745
96070,Pasta 926,Appetizer,2,42,84
36628,Baklava 445,Snack,5,76,380
70205,Hamburger 125,Main Course,2,50,100
95350,Fattoush 536,Salad,2,52,104
48555,Falafel 421,Soup,2,52,104
23222,Kunafa 409,Dessert,1,146,146
24932,Taco 592,Main Course,3,95,285
76674,Baklava 174,Dessert,3,157,471
33363,Falafel 181,Appetizer,1,92,92
53607,Shakshuka 663,Breakfast,1,66,66
80892,Pancake 138,Soup,2,77,154
57474,Baklava 803,Appetizer,2,134,268
91202,Curry 972,Breakfast,4,74,296
26235,Curry 579,Breakfast,1,59,59
98900,Hamburger 930,Dessert,5,50,250
93401,Paella 272,Appetizer,4,125,500
23631,Pasta 382,Snack,1,50,50
54355,Pasta 621,Appetizer,4,55,220
90190,Croissant 19,Dessert,5,176,880
31037,Paella 260,Dessert,5,113,565
81945,Croissant 990,Breakfast,5,56,280
48466,Curry 994,Main Course,1,150,150
84011,Hamburger 414,Dessert,2,50,100
61233,Taco 95,Breakfast,1,59,59
78844,Hamburger 329,Breakfast,4,50,200
67885,Taco 714,Soup,4,49,196
40099,Hamburger 220,Main Course,2,50,100
95948,Hamburger 79,Dessert,1,50,50
47062,Curry 441,Soup,5,73,365
60969,Taco 592,Main Course,2,95,190
64029,Croissant 718,Breakfast,5,98,490
76076,Mansaf 197,Main Course,4,77,308
62044,Tabbouleh 476,Salad,1,83,83
69639,Hamburger 828,Soup,5,50,250
92237,Pancake 209,Breakfast,2,97,194
45774,Baklava 458,Dessert,5,110,550
99428,Curry 629,Appetizer,3,108,324
78150,Pasta 309,Breakfast,4,56,224
39690,Paella 182,Soup,5,47,235
54004,Curry 679,Soup,3,75,225
21292,Baklava 555,Soup,1,79,79
66192,Paella 291,Main Course,1,82,82
30502,Shakshuka 951,Breakfast,2,82,164
32964,Falafel 267,Dessert,4,186,744
79229,Paella 188,Appetizer,3,115,345
86066,Taco 985,Soup,1,55,55
57069,Taco 437,Breakfast,3,87,261
28772,Paella 54,Main Course,1,92,92
97251,Falafel 186,Appetizer,4,71,284
42751,Hummus,Snack,2,79,158
34652,Pancake 176,Main Course,5,90,450
23654,Molokhia 256,Main Course,4,140,560
22476,Pasta 275,Soup,1,77,77
44924,Hamburger 737,Appetizer,1,50,50
76336,Harira 600,Soup,5,57,285
61813,Baklava 773,Snack,5,82,410
79667,Shakshuka 553,Breakfast,2,71,142
47993,Paella 918,Breakfast,1,84,84
58934,Curry 741,Dessert,4,163,652
25207,Hummus 918,Appetizer,1,55,55
35985,Pancake 624,Appetizer,2,141,282
84641,Falafel 830,Appetizer,5,78,390
51409,Paella 933,Breakfast,3,59,177
42361,Hamburger 541,Breakfast,1,50,50
47282,Croissant 732,Soup,5,42,210
19607,Taco 741,Main Course,1,57,57
89620,Pasta 545,Snack,3,84,252
15498,Hamburger 107,Appetizer,4,50,200
60316,Pancake 242,Soup,2,42,84
83598,Hamburger 79,Dessert,5,50,250
80271,Shish Barak,Main Course,1,44,44
93981,Tabbouleh 189,Salad,4,48,192
60548,Taco 843,Soup,3,73,219
62864,Harira 953,Soup,5,67,335
95207,Biryani 596,Main Course,5,134,670
14451,Curry 783,Soup,4,50,200
84065,Falafel 267,Soup,2,68,136
83658,Ful Medames,Breakfast,5,77,385
40443,Pasta 486,Main Course,2,103,206
36504,Baklava 632,Dessert,4,94,376
14546,Molokhia 808,Main Course,2,127,254
46473,Paella 232,Snack,1,60,60
74576,Curry 880,Main Course,2,120,240
51663,Baklava 189,Main Course,2,97,194
55926,Paella 389,Dessert,4,189,756
90331,Hamburger 413,Main Course,4,50,200
63803,Pasta 67,Soup,1,74,74
35868,Curry 278,Appetizer,4,84,336
33762,Pasta 924,Soup,1,40,40
12942,Falafel 303,Main Course,1,127,127
19380,Pasta 316,Appetizer,2,144,288
59508,Hamburger 547,Soup,5,50,250
54749,Hamburger 27,Main Course,2,50,100
22970,Baklava 673,Dessert,5,93,465
20324,Croissant 639,Appetizer,4,87,348
32903,Falafel 602,Breakfast,5,97,485
53613,Fattoush 923,Salad,5,144,720
94226,Baklava 127,Breakfast,4,92,368
50062,Paella 890,Dessert,3,163,489
33106,Pancake 475,Main Course,4,41,164
76589,Paella 267,Soup,3,53,159
80919,Paella 804,Breakfast,5,86,430
55896,Hamburger 145,Main Course,2,50,100
61751,Harira 188,Soup,3,51,153
63284,Pancake 455,Appetizer,2,83,166
34755,Molokhia 728,Main Course,2,94,188
45591,Pancake 925,Soup,1,41,41
36048,Falafel 701,Snack,3,100,300
80197,Taco 756,Snack,4,56,224
73130,Hummus 595,Appetizer,2,135,270
27700,Kunafa 425,Dessert,3,106,318
35687,Pasta 891,Main Course,5,139,695
28809,Hamburger 737,Appetizer,2,50,100
73444,Croissant 476,Soup,4,63,252
92671,Paella 102,Breakfast,5,89,445
25865,Hamburger 284,Breakfast,5,50,250
31353,Paella 334,Dessert,5,108,540
42458,Croissant 200,Dessert,3,180,540
76434,Shakshuka 677,Breakfast,5,78,390
58802,Shakshuka 951,Breakfast,3,82,246
30778,Croissant 751,Main Course,5,127,635
51190,Hamburger 510,Dessert,4,50,200
81499,Croissant 304,Snack,3,80,240
60971,Paella 11,Breakfast,1,52,52
32892,Pancake 913,Soup,2,72,144
42168,Tabbouleh 784,Salad,3,67,201
77136,Paella 403,Appetizer,2,83,166
75125,Fattoush 199,Salad,3,103,309
51092,Pancake 176,Main Course,2,90,180
17224,Curry 49,Breakfast,1,62,62
17644,Shakshuka 951,Breakfast,1,82,82
66980,Harira 728,Soup,2,76,152
84976,Croissant 482,Breakfast,4,73,292
62861,Croissant 535,Dessert,4,83,332
91793,Paella 188,Appetizer,3,115,345
66939,Falafel 138,Soup,5,50,250
14177,Paella 272,Appetizer,4,125,500
53267,Hamburger 477,Dessert,2,50,100
92669,Fattoush 788,Salad,5,122,610
17377,Fattoush 243,Salad,3,85,255
22408,Mansaf 405,Main Course,1,60,60
16890,Croissant 230,Main Course,4,76,304
68772,Croissant 990,Breakfast,3,56,168
24392,Hamburger 969,Dessert,1,50,50
50915,Kunafa 736,Dessert,1,174,174
99519,Taco 875,Soup,3,47,141
22640,Paella 729,Breakfast,3,51,153
13371,Baklava 324,Breakfast,1,84,84
90482,Croissant 304,Snack,1,80,80
91187,Biryani 596,Main Course,4,134,536
97066,Pancake 772,Soup,4,61,244
97798,Hamburger 409,Dessert,3,50,150
95580,Hamburger 373,Snack,5,50,250
95105,Baklava 891,Dessert,2,84,168
21674,Baklava 28,Soup,4,40,160
55795,Fattoush 342,Salad,3,135,405
89530,Croissant 517,Dessert,3,91,273
29187,Paella 954,Soup,5,68,340
67665,Falafel 941,Dessert,4,128,512
50169,Biryani 887,Main Course,1,98,98
71503,Baklava 231,Dessert,3,199,597
73214,Tabbouleh 372,Salad,5,73,365
10116,Pasta 324,Snack,4,100,400
57144,Mansaf 387,Main Course,2,97,194
57551,Falafel 327,Main Course,2,57,114
10505,Shakshuka 442,Breakfast,4,95,380
16709,Hummus 314,Appetizer,5,139,695
27684,Croissant 390,Soup,1,40,40
25730,Pasta 413,Breakfast,2,81,162
34010,Croissant 771,Dessert,2,131,262
13741,Curry 714,Appetizer,4,121,484
32724,Molokhia 808,Main Course,3,127,381
77697,Hamburger 220,Main Course,4,50,200
45088,Baklava 174,Dessert,3,157,471
50122,Taco 875,Soup,2,47,94
98955,Pasta 275,Soup,5,77,385
67462,Pasta 314,Appetizer,3,116,348
44309,Biryani 729,Main Course,1,44,44
61751,Pasta 359,Snack,1,58,58
62358,Croissant 850,Dessert,4,99,396
79098,Taco 433,Breakfast,2,58,116
51186,Hamburger 698,Dessert,5,50,250
96896,Molokhia 144,Main Course,5,83,415
84183,Fattoush 788,Salad,5,122,610
89725,Taco 948,Appetizer,5,137,685
27957,Croissant 535,Dessert,2,83,166
65632,Baklava 274,Snack,4,95,380
40075,Curry 417,Snack,4,89,356
11642,Pasta 157,Snack,2,56,112
14069,Croissant 751,Main Course,2,127,254
81053,Paella 930,Appetizer,4,147,588
83801,Croissant 392,Snack,2,95,190
46788,Tabbouleh 595,Salad,2,46,92
78183,Curry 770,Appetizer,4,77,308
58096,Pancake 635,Appetizer,4,66,264
25116,Falafel 829,Appetizer,4,133,532
99814,Biryani 365,Main Course,5,96,480
90233,Falafel 617,Dessert,2,181,362
72852,Taco 843,Soup,4,73,292
41138,Croissant 359,Soup,2,58,116
73176,Mansaf 126,Main Course,4,122,488
69038,Baklava 819,Snack,2,97,194
46021,Pancake 670,Snack,2,80,160
10901,Hamburger 329,Breakfast,1,50,50
77600,Falafel 388,Appetizer,4,53,212
17454,Baklava 887,Soup,2,51,102
58249,Baklava 577,Dessert,5,125,625
19489,Pasta 545,Snack,1,84,84
79876,Hamburger 612,Snack,2,50,100
38277,Baklava 773,Appetizer,2,68,136
58763,Hamburger 107,Appetizer,2,50,100
25618,Pasta 279,Snack,2,67,134
19408,Pancake 369,Dessert,5,192,960
66267,Hamburger 760,Snack,5,50,250
94395,Paella 535,Snack,5,88,440
10971,Hamburger 74,Dessert,2,50,100
13785,Pancake 55,Breakfast,4,64,256
35191,Hummus 167,Appetizer,4,111,444
58540,Fattoush 342,Salad,5,135,675
45642,Taco 797,Snack,4,53,212
54331,Paella 321,Dessert,4,102,408
12730,Curry 489,Snack,5,63,315
68824,Croissant 363,Snack,2,58,116
56404,Hamburger 812,Snack,1,50,50
43450,Paella 687,Soup,1,50,50
50375,Falafel 720,Soup,2,77,154
51959,Croissant 771,Dessert,3,131,393
25058,Pasta 261,Main Course,2,134,268
80236,Pancake 209,Breakfast,2,97,194
37122,Hamburger 284,Breakfast,5,50,250
63804,Falafel 602,Breakfast,4,97,388
90963,Curry 972,Breakfast,3,74,222
46627,Falafel 452,Breakfast,4,61,244
98510,Paella 434,Main Course,4,111,444
29402,Hamburger 698,Snack,1,50,50
32520,Baklava 454,Main Course,4,89,356
26233,Hamburger 145,Main Course,1,50,50
52336,Shakshuka 455,Breakfast,5,52,260
29985,Taco 439,Main Course,3,106,318
57218,Biryani 146,Main Course,3,53,159
65348,Croissant 854,Appetizer,1,62,62
60879,Paella 908,Snack,1,93,93
17752,Pancake 880,Appetizer,5,47,235
86882,Kibbeh,Snack,1,94,94
33473,Kunafa 541,Dessert,4,187,748
29957,Taco 285,Dessert,2,154,308
25182,Falafel 282,Soup,1,60,60
74103,Falafel 254,Dessert,2,121,242
22425,Biryani 190,Main Course,2,52,104
26827,Shawarma,Snack,2,92,184
59552,Taco 678,Main Course,2,42,84
23388,Curry 616,Appetizer,2,135,270
67481,Pasta 486,Main Course,1,103,103
81711,Falafel 186,Appetizer,2,71,142
97393,Falafel 829,Appetizer,3,133,399
60480,Croissant 304,Snack,3,80,240
76624,Pasta 314,Main Course,3,67,201
96409,Pancake 209,Breakfast,3,97,291
84748,Hamburger 991,Dessert,1,50,50
11777,Baklava 522,Dessert,4,151,604
69611,Pasta 928,Soup,1,73,73
87972,Falafel 805,Snack,1,87,87
85299,Pasta 621,Appetizer,3,55,165
30888,Baklava 753,Appetizer,1,40,40
24818,Ful Medames,Breakfast,4,77,308
89649,Paella 102,Breakfast,3,89,267
43722,Hamburger 617,Breakfast,3,50,150
60321,Mansaf 113,Main Course,1,94,94
83314,Curry 770,Appetizer,4,77,308
11831,Baklava 284,Soup,5,74,370
92386,Pancake 823,Soup,4,78,312
91164,Pancake 577,Appetizer,1,79,79
19792,Tabbouleh 182,Salad,4,84,336
67631,Kabsa,Main Course,4,44,176
69598,Curry 574,Main Course,1,135,135
28586,Pancake 242,Soup,2,42,84
88943,Hamburger 698,Snack,2,50,100
61193,Croissant 467,Breakfast,1,86,86
25031,Shakshuka 671,Breakfast,4,78,312
47545,Croissant 239,Snack,2,70,140
71225,Paella 860,Snack,2,74,148
52752,Paella 469,Soup,3,49,147
11337,Hamburger 951,Breakfast,2,50,100
36961,Harira 728,Soup,2,76,152
76364,Pasta 916,Breakfast,2,72,144
76013,Croissant 424,Main Course,1,149,149
32536,Shakshuka 261,Breakfast,3,92,276
21517,Molokhia 542,Main Course,3,106,318
93923,Pancake 409,Main Course,2,123,246
39386,Mansaf 822,Main Course,2,95,190
93156,Taco 439,Main Course,3,106,318
12065,Pancake 520,Main Course,4,59,236
94702,Baklava 948,Main Course,5,123,615
70336,Tabbouleh 838,Salad,1,43,43
91142,Tabbouleh 461,Salad,1,40,40
20913,Paella 1000,Breakfast,4,66,264
85278,Baklava 516,Dessert,5,162,810
76720,Pancake 516,Appetizer,1,86,86
27607,Curry 73,Breakfast,3,62,186
16921,Hamburger 152,Breakfast,5,50,250
97400,Hamburger 120,Snack,1,50,50
86930,Pancake 574,Dessert,2,130,260
59094,Hamburger 871,Appetizer,5,50,250
32268,Molokhia 591,Main Course,1,149,149
14828,Hummus 595,Appetizer,2,135,270
30027,Hamburger 551,Soup,3,50,150
23855,Curry 944,Dessert,5,172,860
23271,Pancake 780,Appetizer,4,130,520
19166,Pasta 341,Breakfast,3,84,252
76018,Falafel 415,Appetizer,3,127,381
19401,Pancake 842,Breakfast,2,69,138
52369,Hamburger 962,Breakfast,1,50,50
70294,Hummus 546,Appetizer,5,41,205
82829,Tabbouleh 998,Salad,2,75,150
24717,Taco 145,Breakfast,3,76,228
32852,Molokhia 869,Main Course,4,53,212
32891,Harira 203,Soup,5,53,265
96909,Taco 641,Dessert,3,158,474
31107,Curry 492,Dessert,5,163,815
26292,Tabbouleh 494,Salad,1,57,57
96054,Falafel 282,Soup,1,60,60
89689,Pancake 610,Soup,5,54,270
33835,Falafel 94,Dessert,2,188,376
96166,Baklava 927,Dessert,5,173,865
23336,Falafel 720,Soup,5,77,385
85672,Baklava 189,Main Course,2,97,194
81853,Biryani 739,Main Course,5,124,620
28010,Hamburger 286,Dessert,2,50,100
89803,Paella 239,Dessert,4,169,676
47598,Curry 955,Main Course,5,100,500
55735,Croissant 19,Dessert,2,176,352
96191,Paella 188,Appetizer,5,115,575
36101,Curry 336,Main Course,1,89,89
18795,Pancake 610,Soup,2,54,108
63363,Taco 797,Snack,5,53,265
