Name,Preparation Method,Preparation Time (Minutes),Country,Category,Ingredients,Rating,Ingredient Count,Cost Price (EGP),Selling Price (EGP)
Hamburger 119,"Grill beef patty, add toppings and sandwich in bun.",74,Italy,Snack,"Beef Patty, Bun, Lettuce, Tomato, Cheese",3.6,5,45,50
Paella 232,"Cook rice with saffron, seafood, and vegetables.",30,India,Snack,"Rice, Saffron, Seafood, Bell Peppers",5.0,4,68,60
Paella 341,"Cook rice with saffron, seafood, and vegetables.",50,China,Soup,"Rice, Saffron, Seafood, Bell Peppers",3.6,4,26,76
Curry 666,Simmer protein or vegetables in spiced sauce.,131,USA,Dessert,"Chicken, Coconut Milk, Spices, Onions",3.1,4,55,186
Falafel 794,Blend chickpeas and fry into balls.,127,USA,Breakfast,"Chickpeas, Garlic, Parsley, Spices",3.8,4,52,62
Curry 714,Simmer protein or vegetables in spiced sauce.,168,Italy,Appetizer,"Chicken, Coconut Milk, Spices, Onions",3.0,4,30,121
Pasta 341,Cook pasta with sauce and mix ingredients.,16,Middle East,Breakfast,"Pasta, Tomato Sauce, Cheese, Olive Oil",4.0,4,31,84
Falafel 421,Blend chickpeas and fry into balls.,154,USA,Breakfast,"Chickpeas, Garlic, Parsley, Spices",3.7,4,35,63
Falafel 971,Blend chickpeas and fry into balls.,31,China,Main Course,"Chickpeas, Garlic, Parsley, Spices",4.7,4,46,80
Paella 741,"Cook rice with saffron, seafood, and vegetables.",163,Spain,Breakfast,"Rice, Saffron, Seafood, Bell Peppers",4.3,4,55,97
Taco 255,"Fill tortilla with protein, veggies, and sauce.",160,Japan,Main Course,"Tortilla, Beef, Cheese, Lettuce, Salsa",3.1,5,63,46
Hamburger 93,"Grill beef patty, add toppings and sandwich in bun.",108,Mexico,Appetizer,"Beef Patty, Bun, Lettuce, Tomato, Cheese",4.7,5,73,50
Curry 356,Simmer protein or vegetables in spiced sauce.,72,Spain,Soup,"Chicken, Coconut Milk, Spices, Onions",3.5,4,46,44
Croissant 102,"Prepare layered dough with butter, shape, and bake.",51,Spain,Breakfast,"Flour, Butter, Milk, Yeast",3.2,4,41,82
Baklava 535,Layer phyllo dough with nuts and syrup.,20,Turkey,Snack,"Phyllo Dough, Honey, Nuts, Cinnamon",4.1,4,31,94
Pasta 739,Cook pasta with sauce and mix ingredients.,20,Japan,Appetizer,"Pasta, Tomato Sauce, Cheese, Olive Oil",4.8,4,32,138
Falafel 169,Blend chickpeas and fry into balls.,56,Italy,Appetizer,"Chickpeas, Garlic, Parsley, Spices",3.5,4,71,76
Baklava 935,Layer phyllo dough with nuts and syrup.,32,Middle East,Breakfast,"Phyllo Dough, Honey, Nuts, Cinnamon",4.0,4,38,79
Taco 299,"Fill tortilla with protein, veggies, and sauce.",100,Thailand,Breakfast,"Tortilla, Beef, Cheese, Lettuce, Salsa",3.9,5,32,98
Croissant 85,"Prepare layered dough with butter, shape, and bake.",25,Spain,Dessert,"Flour, Butter, Milk, Yeast",4.6,4,78,80
Pancake 201,"Mix batter, cook on griddle, and serve with syrup.",119,Italy,Main Course,"Flour, Eggs, Milk, Syrup",3.8,4,50,119
Croissant 384,"Prepare layered dough with butter, shape, and bake.",123,France,Main Course,"Flour, Butter, Milk, Yeast",5.0,4,60,150
Pasta 744,Cook pasta with sauce and mix ingredients.,30,France,Breakfast,"Pasta, Tomato Sauce, Cheese, Olive Oil",4.3,4,36,72
Hamburger 79,"Grill beef patty, add toppings and sandwich in bun.",72,Mexico,Dessert,"Beef Patty, Bun, Lettuce, Tomato, Cheese",3.3,5,119,50
Paella 102,"Cook rice with saffron, seafood, and vegetables.",82,France,Breakfast,"Rice, Saffron, Seafood, Bell Peppers",4.9,4,41,89
Croissant 230,"Prepare layered dough with butter, shape, and bake.",34,India,Main Course,"Flour, Butter, Milk, Yeast",3.1,4,63,76
Baklava 998,Layer phyllo dough with nuts and syrup.,146,Japan,Dessert,"Phyllo Dough, Honey, Nuts, Cinnamon",3.6,4,115,192
Pancake 741,"Mix batter, cook on griddle, and serve with syrup.",85,France,Breakfast,"Flour, Eggs, Milk, Syrup",4.4,4,36,87
Curry 629,Simmer protein or vegetables in spiced sauce.,29,Italy,Appetizer,"Chicken, Coconut Milk, Spices, Onions",4.3,4,32,108
Hamburger 969,"Grill beef patty, add toppings and sandwich in bun.",13,India,Dessert,"Beef Patty, Bun, Lettuce, Tomato, Cheese",3.4,5,65,50
Paella 1000,"Cook rice with saffron, seafood, and vegetables.",129,China,Breakfast,"Rice, Saffron, Seafood, Bell Peppers",4.4,4,50,66
Curry 825,Simmer protein or vegetables in spiced sauce.,45,Japan,Appetizer,"Chicken, Coconut Milk, Spices, Onions",4.6,4,62,57
Croissant 751,"Prepare layered dough with butter, shape, and bake.",84,Mexico,Main Course,"Flour, Butter, Milk, Yeast",4.8,4,64,127
Hamburger 85,"Grill beef patty, add toppings and sandwich in bun.",139,China,Dessert,"Beef Patty, Bun, Lettuce, Tomato, Cheese",3.9,5,64,50
Taco 567,"Fill tortilla with protein, veggies, and sauce.",141,Italy,Main Course,"Tortilla, Beef, Cheese, Lettuce, Salsa",3.8,5,51,120
Baklava 454,Layer phyllo dough with nuts and syrup.,20,Spain,Main Course,"Phyllo Dough, Honey, Nuts, Cinnamon",4.6,4,49,89
Paella 954,"Cook rice with saffron, seafood, and vegetables.",42,China,Soup,"Rice, Saffron, Seafood, Bell Peppers",4.0,4,43,68
Pancake 763,"Mix batter, cook on griddle, and serve with syrup.",138,France,Dessert,"Flour, Eggs, Milk, Syrup",3.5,4,120,189
Falafel 779,Blend chickpeas and fry into balls.,88,Turkey,Soup,"Chickpeas, Garlic, Parsley, Spices",4.5,4,30,46
Taco 486,"Fill tortilla with protein, veggies, and sauce.",127,Spain,Dessert,"Tortilla, Beef, Cheese, Lettuce, Salsa",3.8,5,118,110
Falafel 974,Blend chickpeas and fry into balls.,177,India,Appetizer,"Chickpeas, Garlic, Parsley, Spices",4.0,4,66,61
Falafel 422,Blend chickpeas and fry into balls.,168,Mexico,Breakfast,"Chickpeas, Garlic, Parsley, Spices",4.6,4,43,87
Paella 519,"Cook rice with saffron, seafood, and vegetables.",46,Spain,Main Course,"Rice, Saffron, Seafood, Bell Peppers",4.9,4,57,89
Paella 954,"Cook rice with saffron, seafood, and vegetables.",102,Mexico,Soup,"Rice, Saffron, Seafood, Bell Peppers",3.3,4,22,68
Pancake 60,"Mix batter, cook on griddle, and serve with syrup.",31,China,Snack,"Flour, Eggs, Milk, Syrup",4.9,4,38,53
